Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,up,0
car,,up,0
car,,down,48.38958581288655
car,,down,0
car,,down,0
car,,down,4.888709386189778
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,196.2662696838379
horse,,up,0
car,,down,5.651537577311197
truck,,down,0
car,,up,0
truck,,up,0
truck,,down,0
car,,down,0
car,,up,0
car,,up,0
truck,,up,0
car,,up,0
car,,down,0
car,,up,0
car,,up,0
car,,down,0
car,,up,0
car,,down,0
car,,up,0
car,,down,0
car,,down,53.84544796413845
car,,down,22.05942471822103
car,,down,11.21530532836914
car,,down,91.34950637817383
truck,,down,0
truck,,down,0
car,,down,42.30313301086426
truck,,up,0
car,,down,0
car,,down,0
car,,down,57.570624351501465
car,,up,0
car,,up,0
car,,down,0
dog,,down,119.77731386820474
car,,up,0
car,,up,0
car,,up,0
car,,up,0
car,,up,0
umbrella,,down,0
car,,down,0.15951262580023873
cow,,down,6.25141461690267
cow,,down,3.8748105367024737
truck,,down,7.9685211181640625
car,,down,13.506587346394856
car,,down,0
car,,down,0
dog,,down,39.21755154927572
car,,down,3.672345479329427
car,,down,15.103753407796223
dog,,down,11.172993977864582
car,,down,16.45483175913493
car,,down,29.523181915283203
car,,down,1.3678047392103407
car,,down,3.1847159067789717
car,,down,4.252815246582031
elephant,,down,0
car,,up,0
car,,down,0
car,,up,0
car,,down,2.352476119995117
person,,down,25.660435358683266
car,,up,0
car,,down,0
fire hydrant,,down,0
car,,down,14.548285802205402
person,,up,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
car,,up,0
car,,down,0
car,,down,0
car,,down,0
car,,down,0
airplane,,up,0
car,,up,0
cup,,down,0
car,,down,0
car,,up,0
person,,down,12.138077418009441
airplane,,down,0
airplane,,down,8.610359827677408
airplane,,down,19.638935724894207
